RUN,Run,,Total,Trigger,TARGET,BEAM,,,TRIGGER,FADC,,,CLUSTER,Cluster,,,ECAL Scalers,,NOTES,
3452,12/20/14 12:31 PM,12/20/14 12:37 PM,10 M,55,NONE,100,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -7%
3453,12/20/14 12:40 PM,12/20/14 01:09 PM,2 M,1.2,NONE,10,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -15%
3454,12/20/14 01:09 PM,12/20/14 01:25 PM,4 M,5.5,NONE,50,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -15%
3455,12/20/14 01:25 PM,12/20/14 01:40 PM,5.7 M,10,NONE,100,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -15%
3457,12/20/14 01:44 PM,12/20/14 01:58 PM,0.2M,0.2,NONE,10,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -25%
3458,12/20/14 01:44 PM,12/20/14 02:15 PM,0.7 M,0.8,NONE,50,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -25%
3459,12/20/14 02:15 PM,12/20/14 02:25 PM,0.9M,1.7,NONE,100,,,Loose Singles,7,12,3010/200,100,200,+/- 8,+/- 16,,,background study,nominal chicane -25%
3461,12/20/14 05:23 PM,12/20/14 10:33 PM,1.9M,,5 um Pt,OFF,,,100 Hz Pulser,7,12,,,,,,,,DAQ Test,
3462,12/20/14 10:35 PM,12/20/14 05:53 AM,,,5 um Pt,OFF,,,100 Hz Pulser,7,12,,,,,,,,DAQ Test,
3463,12/21/14 05:54 AM,12/21/14 07.17 AM ,,,5 um Pt,OFF,,,100 Hz Pulser,7,12,,,,,,,,DAQ Test,
3464,12/21/14 11:00 AM,,,7,NONE,OFF,,,Cosmics + 1Hz Pulser,1,0,3180/400,,,,,,,"Mode 1, Non-Blocking",Cosmic+Ped. Calibration
